id;start_date;end_date;language
1;2021-03-18T16:39:06;2021-03-18T14:29:21;SPANISH
2;2021-03-17T21:29:17;2021-03-18T16:33:42;SPANISH
3;2021-03-18T12:24:36;2021-03-17T22:58:45;FRENCH
4;2021-03-18T03:42:07;2021-03-18T15:13:33;FRENCH
5;2021-03-18T13:12:25;2021-03-18T17:59:24;FRENCH
6;2021-03-18T07:04:46;2021-03-18T19:13:00;FRENCH
7;2021-03-18T08:50:06;2021-03-18T02:40:57;FRENCH
8;2021-03-18T07:46:19;2021-03-18T18:02:27;SPANISH
9;2021-03-18T06:27:28;2021-03-18T03:08:51;SPANISH
10;2021-03-18T14:39:32;2021-03-18T01:14:02;SPANISH
